#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         578     0.97583    0.971812 7.06839e-05
         579    0.975854    0.971819 7.09058e-05
         580    0.975878    0.971826  7.1128e-05
         581    0.975902    0.971833 7.13507e-05
         582    0.975926     0.97184 7.15739e-05
         583    0.975951    0.971847 7.17975e-05
         584    0.975975    0.971855 7.20215e-05
         585    0.975999    0.971862  7.2246e-05
         586    0.976023    0.971869  7.2471e-05
         587    0.976048    0.971876 7.26964e-05
         588    0.976072    0.971883 7.29223e-05
         589    0.976097     0.97189 7.31486e-05
         590    0.976122    0.971897 7.33754e-05
         591    0.976146    0.971904 7.36026e-05
         592    0.976171    0.971912 7.38303e-05
         593    0.976196    0.971919 7.40585e-05
         594    0.976221    0.971926 7.42871e-05
         595    0.976246    0.971933 7.45162e-05
         596    0.976271    0.971941 7.47457e-05
         597    0.976296    0.971948 7.49757e-05
         598    0.976322    0.971955 7.52062e-05
         599    0.976347    0.971963 7.54372e-05
         600    0.976372     0.97197 7.56686e-05
         601    0.976398    0.971977 7.59005e-05
         602    0.976423    0.971985 7.61328e-05
         603    0.976449    0.971992 7.63657e-05
         604    0.976474       0.972  7.6599e-05
         605      0.9765    0.972007 7.68327e-05
         606    0.976526    0.972014  7.7067e-05
         607    0.976552    0.972022 7.73017e-05
         608    0.976578    0.972029 7.75369e-05
         609    0.976604    0.972037 7.77726e-05
         610     0.97663    0.972044 7.80087e-05
         611    0.976656    0.972052 7.82453e-05
         612    0.976683     0.97206 7.84825e-05
         613    0.976709    0.972067   7.872e-05
         614    0.976735    0.972075 7.89581e-05
         615    0.976762    0.972082 7.91967e-05
         616    0.976788     0.97209 7.94357e-05
         617    0.976815    0.972098 7.96753e-05
         618    0.976842    0.972105 7.99153e-05
         619    0.976869    0.972113 8.01558e-05
         620    0.976895    0.972121 8.03968e-05
         621    0.976922    0.972129 8.06383e-05
         622    0.976949    0.972136 8.08803e-05
         623    0.976977    0.972144 8.11227e-05
         624    0.977004    0.972152 8.13657e-05
         625    0.977031     0.97216 8.16092e-05
         626    0.977058    0.972167 8.18531e-05
         627    0.977086    0.972175 8.20976e-05
         628    0.977113    0.972183 8.23425e-05
         629    0.977141    0.972191  8.2588e-05
         630    0.977169    0.972199  8.2834e-05
         631    0.977196    0.972207 8.30804e-05
         632    0.977224    0.972215 8.33274e-05
         633    0.977252    0.972223 8.35749e-05
         634     0.97728    0.972231 8.38228e-05
         635    0.977308    0.972239 8.40713e-05
         636    0.977336    0.972247 8.43203e-05
         637    0.977364    0.972255 8.45698e-05
         638    0.977393    0.972263 8.48199e-05
         639    0.977421    0.972271 8.50704e-05
         640     0.97745    0.972279 8.53214e-05
         641    0.977478    0.972287  8.5573e-05
         642    0.977507    0.972295 8.58251e-05
         643    0.977536    0.972303 8.60777e-05
         644    0.977564    0.972312 8.63308e-05
         645    0.977593     0.97232 8.65844e-05
         646    0.977622    0.972328 8.68386e-05
         647    0.977651    0.972336 8.70932e-05
         648     0.97768    0.972344 8.73484e-05
         649     0.97771    0.972353 8.76042e-05
         650    0.977739    0.972361 8.78604e-05
         651    0.977768    0.972369 8.81172e-05
         652    0.977798    0.972378 8.83745e-05
         653    0.977827    0.972386 8.86324e-05
         654    0.977857    0.972394 8.88907e-05
         655    0.977887    0.972403 8.91496e-05
         656    0.977916    0.972411 8.94091e-05
         657    0.977946     0.97242 8.96691e-05
         658    0.977976    0.972428 8.99296e-05
         659    0.978006    0.972436 9.01906e-05
         660    0.978036    0.972445 9.04522e-05
