#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         344   0.0485917   0.0485298 1.46487e-06
         345   0.0485923     0.04853 1.47177e-06
         346   0.0485929   0.0485302 1.47869e-06
         347   0.0485934   0.0485304 1.48562e-06
         348    0.048594   0.0485305 1.49257e-06
         349   0.0485946   0.0485307 1.49953e-06
         350   0.0485952   0.0485309 1.50651e-06
         351   0.0485958   0.0485311 1.51351e-06
         352   0.0485963   0.0485313 1.52052e-06
         353   0.0485969   0.0485315 1.52754e-06
         354   0.0485975   0.0485317 1.53458e-06
         355   0.0485981   0.0485318 1.54163e-06
         356   0.0485987    0.048532  1.5487e-06
         357   0.0485993   0.0485322 1.55578e-06
         358   0.0485999   0.0485324 1.56288e-06
         359   0.0486005   0.0485326    1.57e-06
         360   0.0486011   0.0485328 1.57712e-06
         361   0.0486017    0.048533 1.58427e-06
         362   0.0486023   0.0485332 1.59143e-06
         363   0.0486029   0.0485334  1.5986e-06
         364   0.0486035   0.0485336 1.60579e-06
         365   0.0486041   0.0485337   1.613e-06
         366   0.0486048   0.0485339 1.62022e-06
         367   0.0486054   0.0485341 1.62745e-06
         368    0.048606   0.0485343  1.6347e-06
         369   0.0486066   0.0485345 1.64197e-06
         370   0.0486072   0.0485347 1.64925e-06
         371   0.0486079   0.0485349 1.65655e-06
         372   0.0486085   0.0485351 1.66386e-06
         373   0.0486091   0.0485353 1.67119e-06
         374   0.0486098   0.0485355 1.67853e-06
         375   0.0486104   0.0485357 1.68589e-06
         376    0.048611   0.0485359 1.69326e-06
         377   0.0486117   0.0485361 1.70065e-06
         378   0.0486123   0.0485363 1.70805e-06
         379    0.048613   0.0485365 1.71547e-06
         380   0.0486136   0.0485367  1.7229e-06
         381   0.0486142   0.0485369 1.73035e-06
         382   0.0486149   0.0485371 1.73782e-06
         383   0.0486155   0.0485373  1.7453e-06
         384   0.0486162   0.0485375  1.7528e-06
         385   0.0486169   0.0485377 1.76031e-06
         386   0.0486175    0.048538 1.76784e-06
         387   0.0486182   0.0485382 1.77538e-06
         388   0.0486188   0.0485384 1.78294e-06
         389   0.0486195   0.0485386 1.79052e-06
         390   0.0486202   0.0485388 1.79811e-06
         391   0.0486208    0.048539 1.80571e-06
         392   0.0486215   0.0485392 1.81334e-06
         393   0.0486222   0.0485394 1.82097e-06
         394   0.0486229   0.0485396 1.82863e-06
         395   0.0486235   0.0485398  1.8363e-06
         396   0.0486242   0.0485401 1.84398e-06
         397   0.0486249   0.0485403 1.85168e-06
         398   0.0486256   0.0485405  1.8594e-06
         399   0.0486263   0.0485407 1.86713e-06
         400    0.048627   0.0485409 1.87488e-06
         401   0.0486277   0.0485411 1.88264e-06
         402   0.0486284   0.0485414 1.89042e-06
         403   0.0486291   0.0485416 1.89822e-06
         404   0.0486298   0.0485418 1.90603e-06
         405   0.0486305    0.048542 1.91386e-06
