# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
    388   1.50244     0.00430191         0.4696
    389    1.5026     0.00429387         0.4808
    390   1.50269     0.00428394         0.4668
    391   1.50263     0.00427347         0.4716
    392   1.50257     0.00426302         0.4816
    393    1.5026     0.00425226         0.4808
    394   1.50229     0.00425222         0.4692
    395   1.50218     0.00424288         0.4744
    396   1.50233     0.00423476         0.4936
    397   1.50235     0.00422415         0.4952
    398   1.50217     0.00421749          0.464
    399   1.50219     0.00420698          0.484
