SA_STEP        SA_TEMP      FINAL_AVE          ERROR     ACCEPTANCE
    304     0.00986842      -0.440934     0.00215113         0.7235
    305     0.00983607      -0.439778     0.00199477        0.72193
    306     0.00980392      -0.436051      0.0021336        0.74413
    307     0.00977199      -0.445987     0.00265864        0.74299
    308     0.00974026      -0.438795     0.00288328        0.74246
    309     0.00970874      -0.439429      0.0026624        0.74057
    310     0.00967742      -0.436745      0.0043765        0.73828
    311      0.0096463      -0.439785     0.00223845        0.73959
    312     0.00961538      -0.441736     0.00197597        0.74154
    313     0.00958466      -0.435176     0.00289424         0.7395
    314     0.00955414      -0.444922     0.00222124        0.73103
    315     0.00952381      -0.445933     0.00217449        0.73095
    316     0.00949367      -0.437893     0.00290928        0.73154
    317     0.00946372      -0.438781     0.00274248        0.72972
    318     0.00943396      -0.440182     0.00289377        0.72755
    319     0.00940439      -0.442693     0.00237769        0.73128
    320       0.009375      -0.438591     0.00386139        0.73068
    321     0.00934579      -0.433277     0.00231472        0.68619
    322     0.00931677      -0.442436     0.00260024        0.72985
    323     0.00928793      -0.443237     0.00249832        0.73112
    324     0.00925926      -0.445481     0.00233906         0.7283
    325     0.00923077       -0.44784      0.0022842        0.72887
    326     0.00920245      -0.446934     0.00240747        0.72815
    327     0.00917431      -0.443933      0.0020348        0.72896
    328     0.00914634      -0.432248     0.00219869        0.71751
    329     0.00911854      -0.432946     0.00225807        0.71827
    330     0.00909091      -0.429267     0.00230985        0.71644
    331     0.00906344      -0.428205     0.00242698        0.71341
    332     0.00903614      -0.431214     0.00244158        0.71558
    333     0.00900901      -0.432577     0.00222597        0.70056
    334     0.00898204      -0.436549     0.00437097        0.72463
    335     0.00895522      -0.441812     0.00302688        0.72727
    336     0.00892857      -0.449203     0.00244956        0.73102
    337     0.00890208      -0.446818     0.00248939        0.73118
    338     0.00887574      -0.442155     0.00197713        0.71101
    339     0.00884956       -0.44147      0.0021989        0.70644
    340     0.00882353      -0.438448      0.0031554        0.70846
    341     0.00879765      -0.441942     0.00291976        0.72442
    342     0.00877193      -0.444803     0.00226074        0.72594
    343     0.00874636      -0.447781     0.00207909        0.72251
    344     0.00872093      -0.440195     0.00280649        0.72733
    345     0.00869565      -0.444687     0.00207731        0.72227
    346     0.00867052      -0.439518     0.00267204        0.73408
    347     0.00864553      -0.440034     0.00214928        0.74119
    348     0.00862069       -0.43346     0.00268643        0.73833
    349     0.00859599       -0.44214     0.00209996        0.71604
    350     0.00857143      -0.446097     0.00217056         0.7174
    351     0.00854701      -0.434376     0.00202188        0.69167
    352     0.00852273      -0.435355     0.00214897         0.6919
    353     0.00849858      -0.435909     0.00224704        0.69242
    354     0.00847458       -0.43458     0.00346075        0.71033
    355      0.0084507      -0.443336     0.00238874        0.71271
    356     0.00842697      -0.443229     0.00237253        0.71509
    357     0.00840336      -0.436625     0.00288989        0.71331
    358     0.00837989       -0.43859     0.00267224        0.71214
    359     0.00835655      -0.440036     0.00261855        0.71216
    360     0.00833333      -0.440135     0.00272147        0.70861
    361     0.00831025      -0.437105     0.00283471        0.70226
    362     0.00828729      -0.442871     0.00211763        0.70167
    363     0.00826446      -0.436678     0.00312056        0.74288
    364     0.00824176      -0.444028     0.00287593        0.74027
    365     0.00821918      -0.441249     0.00293133        0.74112
    366     0.00819672      -0.436452     0.00331955        0.74148
    367     0.00817439      -0.428651     0.00400662        0.73296
    368     0.00815217      -0.435216     0.00366471        0.72855
    369     0.00813008      -0.434443     0.00381362        0.72365
    370     0.00810811      -0.433987     0.00373753        0.72247
    371     0.00808625      -0.436121      0.0032962         0.7299
    372     0.00806452      -0.435836     0.00341153         0.7251
    373      0.0080429      -0.434148     0.00404561        0.73492
    374     0.00802139      -0.440158     0.00310605        0.73693
    375          0.008      -0.438756     0.00394115        0.73215
    376     0.00797872      -0.439884      0.0030477        0.73464
    377     0.00795756      -0.436599     0.00396851        0.73452
    378     0.00793651      -0.439087     0.00335627        0.73428
    379     0.00791557      -0.444079     0.00322048        0.73562
    380     0.00789474      -0.445348     0.00310712        0.73317
    381     0.00787402      -0.446316     0.00204389        0.71555
    382      0.0078534      -0.443832     0.00214889        0.71858
    383      0.0078329      -0.442517     0.00225819        0.71453
    384      0.0078125      -0.445137     0.00236285        0.71644
    385     0.00779221      -0.446857     0.00212559         0.7219
    386     0.00777202      -0.441258     0.00239787         0.7259
    387     0.00775194       -0.44361     0.00226606        0.72237
    388     0.00773196      -0.442587     0.00232785        0.70862
    389     0.00771208      -0.441368     0.00227327        0.71066
    390     0.00769231      -0.446267      0.0021589        0.71146
    391     0.00767263      -0.435435     0.00219013        0.72195
    392     0.00765306      -0.429473     0.00258375        0.68078
    393     0.00763359      -0.427619     0.00236314        0.68442
    394     0.00761421      -0.429158     0.00239959        0.68258
    395     0.00759494      -0.427717     0.00230028        0.68451
    396     0.00757576      -0.428595     0.00240032        0.68313
    397     0.00755668      -0.427342     0.00242414        0.68364
    398     0.00753769      -0.428165     0.00250956        0.68031
    399      0.0075188      -0.424332      0.0024668        0.68338
    400         0.0075      -0.426997     0.00248869        0.68182
    401      0.0074813      -0.409537     0.00298437        0.66397
    402     0.00746269      -0.424197     0.00246366        0.67453
    403     0.00744417      -0.423629     0.00216613        0.67764
    404     0.00742574      -0.425147     0.00235831        0.67579
    405     0.00740741      -0.427531     0.00246687        0.68839
