#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         380    -6.67704    -6.62194   0.0235865
         381     -6.6764    -6.62208    0.023525
         382    -6.67605    -6.62223   0.0234639
         383    -6.67468    -6.62236    0.023403
         384    -6.67327    -6.62249   0.0233424
         385    -6.67311    -6.62263   0.0232822
         386    -6.67259    -6.62276   0.0232222
         387    -6.67203    -6.62288   0.0231626
         388     -6.6711    -6.62301   0.0231032
         389    -6.67046    -6.62313   0.0230441
         390    -6.66946    -6.62325   0.0229854
         391    -6.66842    -6.62336   0.0229269
         392    -6.66766    -6.62348   0.0228687
         393    -6.66687    -6.62359   0.0228107
         394    -6.66571    -6.62369   0.0227531
         395    -6.66453     -6.6238   0.0226957
         396     -6.6633     -6.6239   0.0226386
         397    -6.66302      -6.624   0.0225818
         398    -6.66173    -6.62409   0.0225253
         399    -6.66008    -6.62418    0.022469
         400    -6.66002    -6.62427    0.022413
         401    -6.65896    -6.62436   0.0223573
         402    -6.65786    -6.62444   0.0223018
         403    -6.65706    -6.62452   0.0222466
         404    -6.65623     -6.6246   0.0221917
         405    -6.65538    -6.62468    0.022137
         406    -6.65416    -6.62475   0.0220826
         407     -6.6526    -6.62482   0.0220285
         408    -6.65133    -6.62488   0.0219746
         409    -6.65068    -6.62494   0.0219209
         410    -6.64968    -6.62501   0.0218676
         411    -6.64866    -6.62506   0.0218144
         412    -6.64794    -6.62512   0.0217616
         413    -6.64655    -6.62517   0.0217089
         414    -6.64481    -6.62522   0.0216565
         415    -6.64336    -6.62526   0.0216044
         416    -6.64222     -6.6253   0.0215525
         417    -6.64009    -6.62534   0.0215009
         418     -6.6389    -6.62537   0.0214494
         419     -6.6364     -6.6254   0.0213983
         420     -6.6355    -6.62542   0.0213473
         421    -6.63458    -6.62544   0.0212966
         422    -6.63364    -6.62546   0.0212462
         423    -6.63203    -6.62548    0.021196
         424     -6.6304    -6.62549    0.021146
         425    -6.62843     -6.6255   0.0210962
         426    -6.62645     -6.6255   0.0210467
         427    -6.62509     -6.6255   0.0209974
         428     -6.6234    -6.62549   0.0209483
         429    -6.62202    -6.62548   0.0208995
         430     -6.6203    -6.62547   0.0208509
         431    -6.61856    -6.62546   0.0208025
         432    -6.61682    -6.62544   0.0207544
         433    -6.61506    -6.62541   0.0207065
         434    -6.61329    -6.62538   0.0206588
         435    -6.61151    -6.62535   0.0206113
         436    -6.60908    -6.62531   0.0205641
         437     -6.6076    -6.62527   0.0205171
         438    -6.60645    -6.62523   0.0204703
         439    -6.60432    -6.62518   0.0204237
         440    -6.60283    -6.62513   0.0203773
         441    -6.60135    -6.62508   0.0203312
         442    -6.59953    -6.62502   0.0202853
         443    -6.59771    -6.62496   0.0202396
         444    -6.59557    -6.62489   0.0201941
         445    -6.59375    -6.62482   0.0201489
         446    -6.59161    -6.62475   0.0201038
         447    -6.58948    -6.62467    0.020059
         448      -6.588    -6.62459   0.0200144
         449    -6.58653     -6.6245     0.01997
         450    -6.58441    -6.62441   0.0199258
         451     -6.5836    -6.62432   0.0198818
         452    -6.58183    -6.62423   0.0198381
         453     -6.5804    -6.62413   0.0197945
         454      -6.578    -6.62403   0.0197512
         455    -6.57692    -6.62393    0.019708
         456    -6.57488    -6.62382   0.0196651
         457     -6.5735    -6.62371   0.0196224
