#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         387     1.24213     1.18562   0.0225341
         388     1.24157     1.18576   0.0224765
         389     1.24097      1.1859   0.0224192
         390     1.24033     1.18604   0.0223621
         391     1.23965     1.18618   0.0223053
         392     1.23893     1.18631   0.0222488
         393     1.23818     1.18645   0.0221926
         394     1.23738     1.18657   0.0221367
         395     1.23655      1.1867    0.022081
         396     1.23569     1.18682   0.0220256
         397     1.23479     1.18695   0.0219704
         398     1.23386     1.18706   0.0219155
         399     1.23289     1.18718   0.0218609
         400     1.23189     1.18729   0.0218065
         401     1.23086      1.1874   0.0217524
         402      1.2298      1.1875   0.0216986
         403      1.2287     1.18761    0.021645
         404     1.22758     1.18771   0.0215916
         405     1.22643      1.1878   0.0215385
         406     1.22524     1.18789   0.0214857
         407     1.22403     1.18798   0.0214331
         408     1.22279     1.18807   0.0213807
         409     1.22152     1.18815   0.0213286
         410     1.22022     1.18823   0.0212767
         411      1.2189      1.1883   0.0212251
         412     1.21756     1.18837   0.0211737
         413     1.21619     1.18844   0.0211225
         414     1.21479      1.1885   0.0210716
         415     1.21338     1.18856   0.0210209
         416     1.21193     1.18862   0.0209704
         417     1.21047     1.18867   0.0209202
         418     1.20898     1.18872   0.0208702
         419     1.20747     1.18877   0.0208205
         420     1.20594     1.18881   0.0207709
         421      1.2044     1.18884   0.0207216
         422     1.20283     1.18888   0.0206726
         423     1.20124     1.18891   0.0206237
         424     1.19963     1.18893   0.0205751
         425       1.198     1.18895   0.0205267
         426     1.19636     1.18897   0.0204785
         427     1.19469     1.18898   0.0204305
         428     1.19301     1.18899   0.0203828
         429     1.19132       1.189   0.0203353
         430     1.18961       1.189    0.020288
         431      1.1879       1.189   0.0202409
         432     1.18616     1.18899   0.0201941
         433     1.18442     1.18898   0.0201475
         434     1.18266     1.18897    0.020101
         435     1.18089     1.18895   0.0200548
         436     1.17911     1.18892   0.0200088
         437     1.17732      1.1889   0.0199631
         438     1.17553     1.18887   0.0199175
         439     1.17373     1.18883   0.0198722
         440     1.17192     1.18879   0.0198271
         441     1.17011     1.18875   0.0197821
         442      1.1683     1.18871   0.0197374
         443     1.16648     1.18866    0.019693
         444     1.16467      1.1886   0.0196487
         445     1.16285     1.18854   0.0196046
         446     1.16103     1.18848   0.0195607
         447     1.15922     1.18842   0.0195171
         448     1.15741     1.18835   0.0194737
         449      1.1556     1.18827   0.0194304
         450      1.1538      1.1882   0.0193874
         451     1.15201     1.18812   0.0193446
         452     1.15023     1.18803    0.019302
         453     1.14846     1.18795   0.0192595
         454     1.14671     1.18786   0.0192173
         455     1.14496     1.18776   0.0191753
         456     1.14323     1.18766   0.0191335
         457     1.14151     1.18756   0.0190919
         458     1.13981     1.18746   0.0190505
         459     1.13813     1.18735   0.0190093
         460     1.13647     1.18724   0.0189683
         461     1.13484     1.18713   0.0189275
         462     1.13322     1.18701   0.0188869
         463     1.13163     1.18689   0.0188465
         464     1.13007     1.18677   0.0188063
         465     1.12853     1.18664   0.0187662
         466     1.12702     1.18651   0.0187264
         467     1.12554     1.18638   0.0186868
         468     1.12409     1.18625   0.0186473
         469     1.12267     1.18612    0.018608
         470     1.12128     1.18598    0.018569
         471     1.11993     1.18584   0.0185301
         472     1.11862     1.18569   0.0184914
         473     1.11734     1.18555   0.0184528
         474      1.1161      1.1854   0.0184145
         475     1.11489     1.18526   0.0183763
         476     1.11373     1.18511   0.0183383
         477     1.11261     1.18495   0.0183005
         478     1.11152      1.1848   0.0182629
         479     1.11048     1.18464   0.0182254
         480     1.10948     1.18449   0.0181881
         481     1.10852     1.18433    0.018151
         482     1.10761     1.18417    0.018114
         483     1.10675     1.18401   0.0180772
         484     1.10593     1.18385   0.0180406
         485     1.10515     1.18369   0.0180041
         486     1.10443     1.18352   0.0179678
         487     1.10374     1.18336   0.0179317
         488     1.10311      1.1832   0.0178957
         489     1.10252     1.18303   0.0178598
         490     1.10198     1.18286   0.0178242
         491     1.10149      1.1827   0.0177886
         492     1.10104     1.18253   0.0177532
         493     1.10065     1.18237    0.017718
         494      1.1003      1.1822   0.0176829
         495     1.10001     1.18203    0.017648
         496     1.09976     1.18187   0.0176132
         497     1.09957      1.1817   0.0175785
         498     1.09942     1.18154    0.017544
         499     1.09933     1.18137   0.0175096
         500     1.09929     1.18121   0.0174754
         501      1.0993     1.18105   0.0174412
         502     1.09936     1.18088   0.0174073
         503     1.09947     1.18072   0.0173734
         504     1.09964     1.18056   0.0173397
         505     1.09986      1.1804   0.0173061
         506     1.10013     1.18024   0.0172726
         507     1.10045     1.18008   0.0172393
         508     1.10083     1.17993    0.017206
         509     1.10125     1.17977   0.0171729
         510     1.10174     1.17962   0.0171399
         511     1.10227     1.17947    0.017107
         512     1.10286     1.17932   0.0170743
         513     1.10351     1.17917   0.0170416
         514     1.10421     1.17903   0.0170091
         515     1.10496     1.17888   0.0169767
         516     1.10577     1.17874   0.0169444
         517     1.10664      1.1786   0.0169122
         518     1.10756     1.17846   0.0168801
         519     1.10853     1.17833   0.0168481
         520     1.10956      1.1782   0.0168162
         521     1.11065     1.17807   0.0167845
         522     1.11178     1.17794   0.0167528
         523     1.11297     1.17782   0.0167212
         524     1.11421     1.17769   0.0166897
         525      1.1155     1.17758   0.0166584
         526     1.11685     1.17746   0.0166271
         527     1.11824     1.17735   0.0165959
         528     1.11969     1.17724   0.0165649
         529     1.12119     1.17713   0.0165339
         530     1.12273     1.17703    0.016503
         531     1.12433     1.17693   0.0164722
         532     1.12597     1.17684   0.0164415
         533     1.12766     1.17674   0.0164109
         534     1.12939     1.17665   0.0163805
         535     1.13117     1.17657   0.0163501
         536     1.13299     1.17649   0.0163198
         537     1.13485     1.17641   0.0162895
         538     1.13674     1.17634   0.0162594
         539     1.13868     1.17627   0.0162294
         540     1.14065      1.1762   0.0161995
         541     1.14265     1.17614   0.0161697
         542     1.14468     1.17608   0.0161399
         543     1.14674     1.17603   0.0161103
         544     1.14883     1.17598   0.0160808
         545     1.15094     1.17593   0.0160513
         546     1.15307     1.17589    0.016022
         547     1.15523     1.17585   0.0159927
         548     1.15739     1.17582   0.0159636
         549     1.15958     1.17579   0.0159345
         550     1.16177     1.17576   0.0159056
         551     1.16397     1.17574   0.0158767
         552     1.16618     1.17572    0.015848
         553     1.16839     1.17571   0.0158193
         554      1.1706      1.1757   0.0157908
         555      1.1728      1.1757   0.0157623
         556       1.175      1.1757    0.015734
         557     1.17719      1.1757   0.0157057
         558     1.17937      1.1757   0.0156776
         559     1.18154     1.17572   0.0156496
         560     1.18369     1.17573   0.0156216
         561     1.18583     1.17575   0.0155938
         562     1.18794     1.17577    0.015566
         563     1.19003     1.17579   0.0155384
         564     1.19209     1.17582   0.0155109
         565     1.19412     1.17586   0.0154835
         566     1.19612     1.17589   0.0154562
         567     1.19809     1.17593    0.015429
         568     1.20003     1.17597   0.0154018
         569     1.20193     1.17602   0.0153748
         570     1.20379     1.17607   0.0153479
         571     1.20561     1.17612   0.0153212
         572     1.20738     1.17617   0.0152945
         573     1.20912     1.17623   0.0152679
         574     1.21081     1.17629   0.0152414
         575     1.21246     1.17635    0.015215
         576     1.21406     1.17642   0.0151888
         577     1.21561     1.17649   0.0151626
         578     1.21712     1.17656   0.0151365
