#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         674        3.06     2.85264   0.0442663
         675        2.42       2.852   0.0442053
         676        2.18     2.85101   0.0441511
         677         2.9     2.85108    0.044086
         678        1.62     2.84926   0.0440583
         679         2.5     2.84875   0.0439964
         680        3.94     2.85035    0.043961
         681        3.94     2.85195   0.0439256
         682         1.3     2.84968     0.04392
         683        3.38     2.85045   0.0438626
         684         2.5     2.84994   0.0438015
         685        2.02     2.84873   0.0437543
         686         1.3     2.84647   0.0437487
         687        5.14     2.84981   0.0438122
         688        1.62     2.84802    0.043785
         689        2.42      2.8474   0.0437258
         690         4.5      2.8498    0.043728
         691        2.02      2.8486   0.0436812
         692        2.02      2.8474   0.0436345
         693        1.62     2.84563   0.0436075
         694         3.7     2.84686    0.043562
         695        3.38     2.84763   0.0435061
         696         2.9      2.8477   0.0434436
         697        3.94     2.84927   0.0434096
         698        2.74     2.84911   0.0433477
         699        2.18     2.84815   0.0432962
         700         4.5     2.85051   0.0432986
         701         3.7     2.85173   0.0432538
         702        2.42     2.85111   0.0431966
         703        2.02     2.84993   0.0431513
         704        3.38     2.85068   0.0430966
         705        4.58     2.85313   0.0431052
         706        2.02     2.85195   0.0430603
         707         2.9     2.85202   0.0429994
         708        1.62     2.85028   0.0429739
         709        3.46     2.85114   0.0429219
         710         2.5     2.85065   0.0428643
         711         2.9     2.85072   0.0428041
         712        2.02     2.84955   0.0427598
         713         1.7     2.84794   0.0427302
         714        2.74     2.84779   0.0426707
         715         2.9     2.84786   0.0426111
         716         2.5     2.84737   0.0425543
         717        2.02     2.84622   0.0425106
         718        2.42     2.84563   0.0424555
         719         2.9      2.8457   0.0423966
         720        2.42     2.84511   0.0423418
         721        1.94     2.84386   0.0423017
         722         2.9     2.84393   0.0422432
         723        2.18     2.84302   0.0421947
         724        3.94     2.84453   0.0421636
         725        2.74     2.84439   0.0421057
         726         1.3     2.84226   0.0421014
         727        1.78      2.8408   0.0420689
         728        1.62     2.83912   0.0420445
         729         2.9      2.8392   0.0419869
         730        1.94     2.83797   0.0419474
         731         2.9     2.83806   0.0418901
         732         2.5      2.8376   0.0418355
         733         2.9     2.83768   0.0417785
         734         2.5     2.83722   0.0417241
         735        3.38     2.83796   0.0416739
         736        0.98     2.83543   0.0416936
         737        4.58      2.8378   0.0417042
         738         2.5     2.83734   0.0416502
         739        1.62      2.8357   0.0416264
         740        2.02     2.83459   0.0415847
         741         2.9     2.83468   0.0415287
         742        5.14     2.83779   0.0415888
         743        2.74     2.83766    0.041533
         744        3.94     2.83914   0.0415036
         745         3.7      2.8403    0.041464
         746         2.9     2.84038   0.0414085
         747        3.46      2.8412   0.0413614
         748         1.3     2.83914   0.0413574
         749         4.5     2.84136   0.0413615
         750         1.7     2.83984   0.0413344
         751        2.02     2.83875   0.0412938
         752        3.06     2.83904   0.0412399
         753         2.5     2.83859   0.0411876
         754         4.5      2.8408   0.0411919
         755         2.9     2.84087   0.0411374
         756         2.5     2.84042   0.0410854
         757        1.62     2.83881   0.0410628
         758        3.38     2.83953   0.0410148
         759        2.18     2.83866     0.04097
         760        3.06     2.83895   0.0409171
         761         1.7     2.83745   0.0408907
         762        3.94      2.8389   0.0408626
         763        2.18     2.83803   0.0408182
         764        2.42     2.83749   0.0407684
         765        3.46      2.8383   0.0407233
         766         2.9     2.83838   0.0406702
         767        2.42     2.83784   0.0406208
         768        2.02     2.83677   0.0405819
         769         2.5     2.83633   0.0405315
         770        3.94     2.83777   0.0405042
         771        2.42     2.83722   0.0404553
         772        2.02     2.83617   0.0404167
         773         1.7      2.8347   0.0403911
         774         2.9     2.83478    0.040339
         775        2.02     2.83373   0.0403007
         776         2.9     2.83381   0.0402488
         777        1.62     2.83225   0.0402273
         778        0.74     2.82956   0.0402654
         779        1.06     2.82729   0.0402778
         780        3.46      2.8281   0.0402343
