#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         661         2.6     1.32956   0.0609033
         662        0.68     1.32858   0.0608192
         663        2.26     1.32998   0.0607437
         664         0.1     1.32813   0.0606804
         665         0.1     1.32629   0.0606173
         666        0.08     1.32441   0.0605551
         667        2.26     1.32582   0.0604806
         668         0.1     1.32398   0.0604179
         669        0.58     1.32287   0.0603378
         670        1.48      1.3231   0.0602482
         671         0.5     1.32188   0.0601709
         672         0.8      1.3211   0.0600864
         673        2.74     1.32321   0.0600341
         674         0.8     1.32243     0.05995
         675         0.9     1.32181   0.0598645
         676         2.5     1.32355   0.0598013
         677         2.9     1.32588   0.0597583
         678        3.28     1.32876   0.0597396
         679        2.26     1.33013   0.0596674
         680        0.98     1.32962   0.0595818
         681        0.32     1.32814   0.0595128
         682         2.6        1.33   0.0594547
         683        2.72     1.33204   0.0594025
         684         2.5     1.33374   0.0593402
         685         0.5     1.33253    0.059266
         686           1     1.33204   0.0591816
         687         2.6     1.33389   0.0591243
         688        0.08     1.33206   0.0590664
         689        0.02     1.33016   0.0590114
         690        0.34     1.32872   0.0589433
         691        1.48     1.32894   0.0588584
         692         0.1     1.32717   0.0588001
         693        0.72     1.32629   0.0587218
         694         0.5      1.3251   0.0586493
         695        2.02      1.3261   0.0585734
         696        0.74     1.32526   0.0584953
         697        2.56     1.32703   0.0584382
         698        2.72     1.32903   0.0583885
         699         0.4      1.3277   0.0583201
         700        0.34     1.32629   0.0582539
         701        0.58     1.32522   0.0581805
         702        0.34     1.32382   0.0581145
         703        0.68      1.3229   0.0580391
         704        2.08     1.32398   0.0579666
         705        0.68     1.32306   0.0578916
         706         0.8     1.32232   0.0578143
         707        0.58     1.32127   0.0577421
         708        0.34     1.31989   0.0576772
         709         0.5     1.31873   0.0576074
         710         0.2     1.31715   0.0575478
         711        1.94     1.31803   0.0574735
         712        0.32     1.31663   0.0574099
         713        0.68     1.31574   0.0573363
         714        0.74     1.31493   0.0572617
         715        2.34     1.31636   0.0571996
         716         2.5     1.31802   0.0571436
         717         0.2     1.31646   0.0570851
         718        0.74     1.31565   0.0570113
         719        2.18     1.31686   0.0569447
         720         1.7     1.31739    0.056868
         721         3.7     1.32069   0.0568851
         722        4.88     1.32562   0.0570195
         723        1.36     1.32567   0.0569407
         724         2.9     1.32785   0.0569035
         725        0.58     1.32681   0.0568344
         726        1.48     1.32702   0.0567565
         727           1     1.32657   0.0566802
         728         0.5     1.32544   0.0566137
         729           1     1.32499   0.0565378
         730        2.56     1.32668   0.0564857
         731         0.8     1.32596    0.056413
         732        1.44     1.32612   0.0563362
         733         6.8     1.33359   0.0567521
         734        2.74      1.3355   0.0567071
         735         2.9     1.33763   0.0566699
         736        1.78     1.33823   0.0565961
         737        0.18     1.33666   0.0565411
         738        0.04     1.33491   0.0564918
         739        0.32     1.33353    0.056432
         740           0     1.33173   0.0563846
         741        0.36     1.33042   0.0563237
         742         3.4     1.33321   0.0563168
         743        2.98     1.33542   0.0562846
         744        6.92     1.34293   0.0567073
         745         2.9     1.34502   0.0566697
         746        0.34     1.34367   0.0566097
         747        0.04     1.34193   0.0565608
         748         0.1     1.34027   0.0565096
         749         0.2     1.33874   0.0564546
         750        0.02     1.33699   0.0564067
         751         1.6     1.33734   0.0563327
         752        4.36     1.34136    0.056401
         753        4.16      1.3451   0.0564502
         754        2.32     1.34639   0.0563901
         755        2.56       1.348   0.0563383
         756         0.5     1.34688    0.056275
         757        1.28     1.34679   0.0562007
         758        6.92     1.35414   0.0566055
         759        1.78      1.3547   0.0565337
         760        1.06     1.35432   0.0564606
         761         0.1     1.35267   0.0564105
         762        0.52     1.35157    0.056347
         763        0.68     1.35069   0.0562801
         764           2     1.35154   0.0562128
         765         2.9     1.35357   0.0561758
         766         0.2     1.35206   0.0561226
         767         0.5     1.35095   0.0560604
         768         2.5     1.35245   0.0560074
         769        0.32     1.35111   0.0559507
         770         5.3     1.35623   0.0561125
         771        1.06     1.35585   0.0560411
         772        0.02     1.35412   0.0559952
         773        0.02     1.35239   0.0559493
         774        0.16     1.35085   0.0558983
         775        0.32     1.34952    0.055842
         776        3.06     1.35173   0.0558135
         777        0.72     1.35091   0.0557476
         778         1.3     1.35085    0.055676
         779         0.5     1.34976   0.0556152
         780         0.5     1.34867   0.0555546
         781        0.68     1.34781     0.05549
         782        1.44     1.34793   0.0554192
         783         1.7     1.34838   0.0553502
         784        0.18     1.34689   0.0552997
         785        0.26      1.3455   0.0552466
         786        0.82     1.34483   0.0551803
         787        0.34     1.34356    0.055125
         788         3.7     1.34655   0.0551361
