#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         537    0.931446      1.0116   0.0109244
         538    0.931363     1.01146   0.0109051
         539    0.931268     1.01131   0.0108859
         540    0.931163     1.01116   0.0108667
         541    0.931048     1.01101   0.0108476
         542    0.930924     1.01086   0.0108286
         543    0.930791     1.01071   0.0108097
         544     0.93065     1.01057   0.0107908
         545    0.930501     1.01042    0.010772
         546    0.930345     1.01027   0.0107533
         547    0.930181     1.01013   0.0107346
         548    0.930011     1.00998    0.010716
         549    0.929835     1.00984   0.0106975
         550    0.929652     1.00969    0.010679
         551    0.929463     1.00954   0.0106607
         552    0.929268      1.0094   0.0106423
         553    0.929068     1.00925   0.0106241
         554    0.928863     1.00911   0.0106059
         555    0.928653     1.00896   0.0105878
         556    0.928437     1.00882   0.0105697
         557    0.928217     1.00867   0.0105517
         558    0.927992     1.00853   0.0105338
         559    0.927762     1.00838    0.010516
         560    0.927527     1.00824   0.0104982
         561    0.927287      1.0081   0.0104805
         562    0.927042     1.00795   0.0104628
         563    0.926791     1.00781   0.0104452
         564    0.926536     1.00766   0.0104277
         565    0.926274     1.00752   0.0104102
         566    0.926007     1.00738   0.0103928
         567    0.925733     1.00723   0.0103755
         568    0.925453     1.00709   0.0103582
         569    0.925167     1.00694    0.010341
         570    0.924873      1.0068   0.0103239
         571    0.924573     1.00666   0.0103068
         572    0.924265     1.00651   0.0102898
         573     0.92395     1.00637   0.0102728
         574    0.923628     1.00622    0.010256
         575    0.923297     1.00608   0.0102391
         576    0.922957     1.00593   0.0102224
         577    0.922609     1.00579   0.0102057
         578    0.922251     1.00565   0.0101891
         579    0.921884      1.0055   0.0101725
         580    0.921506     1.00536    0.010156
         581    0.921118     1.00521   0.0101395
         582    0.920718     1.00507   0.0101231
         583    0.920308     1.00492   0.0101068
         584    0.919885     1.00477   0.0100906
         585    0.919451     1.00463   0.0100744
         586    0.919005     1.00448   0.0100582
         587    0.918546     1.00434   0.0100422
         588    0.918073     1.00419   0.0100262
         589    0.917587     1.00404   0.0100102
         590    0.917088      1.0039  0.00999434
         591    0.916574     1.00375  0.00997852
         592    0.916046      1.0036  0.00996276
         593    0.915503     1.00345  0.00994707
         594    0.914945      1.0033  0.00993144
         595    0.914373     1.00315  0.00991587
         596    0.913784       1.003  0.00990037
         597    0.913181     1.00285  0.00988493
         598    0.912563      1.0027  0.00986955
         599    0.911929     1.00255  0.00985424
         600    0.911279      1.0024  0.00983899
         601    0.910614     1.00224   0.0098238
         602    0.909934     1.00209  0.00980868
         603    0.909238     1.00194  0.00979362
         604    0.908527     1.00178  0.00977863
         605    0.907802     1.00163   0.0097637
         606    0.907061     1.00147  0.00974884
         607    0.906306     1.00131  0.00973404
         608    0.905537     1.00116   0.0097193
         609    0.904753       1.001  0.00970463
         610    0.903956     1.00084  0.00969002
         611    0.903146     1.00068  0.00967548
         612    0.902323     1.00052  0.00966101
         613    0.901489     1.00036   0.0096466
