#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         501        2.02     2.77992   0.0509177
         502        3.06     2.78048   0.0508193
         503         2.9     2.78072   0.0507188
         504         4.5     2.78413   0.0507328
         505         2.9     2.78436   0.0506328
         506        4.58     2.78791    0.050657
         507        5.78     2.79381   0.0508997
         508        3.46     2.79512   0.0508164
         509        3.06     2.79564   0.0507192
         510        5.14     2.80024   0.0508276
         511        2.18     2.79902   0.0507426
         512        5.14     2.80359   0.0508491
         513         2.5       2.803   0.0507534
         514         2.9     2.80319    0.050655
         515         1.3     2.80027   0.0506407
         516         2.5     2.79969   0.0505459
         517        5.14     2.80422   0.0506504
         518        3.38     2.80533   0.0505648
         519        1.94     2.80366   0.0504949
         520         5.3     2.80846   0.0506255
         521        3.94     2.81063   0.0505749
         522         1.7     2.80851   0.0505227
         523         2.5     2.80792   0.0504296
         524        3.94     2.81008   0.0503796
         525        3.46     2.81131   0.0502988
         526        3.46     2.81255   0.0502183
         527        5.14     2.81696   0.0503169
         528        3.38     2.81803   0.0502329
         529         2.5     2.81743   0.0501415
         530        2.02     2.81592   0.0500695
         531         2.5     2.81533   0.0499787
         532         1.3     2.81248   0.0499659
         533        3.94      2.8146   0.0499169
         534        2.02     2.81311   0.0498456
         535        0.74     2.80923   0.0499028
         536        4.58     2.81254   0.0499189
         537        4.58     2.81583   0.0499344
         538        2.42     2.81509    0.049847
         539        2.02     2.81362   0.0497763
         540         1.3     2.81081    0.049763
         541        2.42     2.81009   0.0496762
         542        3.06     2.81055   0.0495867
         543        3.94     2.81263    0.049539
         544        3.38     2.81368   0.0494589
         545         2.5      2.8131   0.0493715
         546        3.94     2.81516   0.0493242
         547        5.14     2.81941   0.0494168
         548        4.58     2.82263    0.049431
         549        4.58     2.82583   0.0494445
         550        4.58     2.82902   0.0494573
         551         1.7     2.82697     0.04941
         552        3.06     2.82739   0.0493223
         553        3.94      2.8294   0.0492741
         554         2.9     2.82953   0.0491853
         555        3.38     2.83052   0.0491067
         556        3.46     2.83165   0.0490314
         557        2.42     2.83092    0.048949
         558         1.7     2.82889   0.0489032
         559        3.06      2.8293   0.0488175
         560        2.02     2.82786   0.0487517
         561        3.94     2.82984   0.0487051
